years_old,year,deaths,population,Deaths per 100k
0,1999,21,3795762,0.6
0,2000,18,3805648,Unreliable
0,2001,22,4012658,0.5
0,2002,29,3951461,0.7
0,2003,25,3975871,0.6
0,2004,30,4014258,0.7
0,2005,35,4004393,0.9
0,2006,44,4041738,1.1
0,2007,33,4147997,0.8
0,2008,21,4132735,0.5
0,2009,32,4003587,0.8
0,2010,23,3944153,0.6
0,2011,24,3996537,0.6
0,2012,32,3943077,0.8
0,2013,30,3941783,0.8
0,2014,24,3948350,0.6
0,2015,29,3978038,0.7
0,,472,67638046,0.7
1,1999,12,3785088,Unreliable
1,2000,5,3820582,Unreliable
1,2001,11,3855407,Unreliable
1,2002,11,4004674,Unreliable
1,2003,16,3936139,Unreliable
1,2004,13,3953063,Unreliable
1,2005,13,3987032,Unreliable
1,2006,13,3972124,Unreliable
1,2007,24,4002215,0.6
1,2008,28,4100756,0.7
1,2009,18,4078797,Unreliable
1,2010,21,3978070,0.5
1,2011,19,3969022,Unreliable
1,2012,22,3981523,0.6
1,2013,23,3955942,0.6
1,2014,19,3962123,Unreliable
1,2015,27,3968564,0.7
1,,295,67311121,0.4
2,1999,5,3782635,Unreliable
2,2000,3,3790446,Unreliable
2,2001,9,3800096,Unreliable
2,2002,4,3856114,Unreliable
2,2003,11,4002836,Unreliable
2,2004,6,3933735,Unreliable
2,2005,10,3952632,Unreliable
2,2006,12,3988119,Unreliable
2,2007,11,3973479,Unreliable
2,2008,11,4004146,Unreliable
2,2009,7,4103002,Unreliable
2,2010,11,4096929,Unreliable
2,2011,13,3971760,Unreliable
2,2012,8,3979957,Unreliable
2,2013,12,3989135,Unreliable
2,2014,15,3957772,Unreliable
2,2015,17,3966583,Unreliable
2,,165,67149376,0.2
3,1999,4,3824806,Unreliable
3,2000,3,3832799,Unreliable
3,2001,5,3802710,Unreliable
3,2002,6,3804336,Unreliable
3,2003,5,3860727,Unreliable
3,2004,2,4008220,Unreliable
3,2005,2,3943215,Unreliable
3,2006,7,3966022,Unreliable
3,2007,5,4004011,Unreliable
3,2008,10,3992320,Unreliable
3,2009,9,4025675,Unreliable
3,2010,4,4119040,Unreliable
3,2011,6,4102285,Unreliable
3,2012,5,3982440,Unreliable
3,2013,5,3989538,Unreliable
3,2014,5,4005190,Unreliable
3,2015,8,3974061,Unreliable
3,,91,67237395,0.1
4,1999,4,3947253,Unreliable
4,2000,4,3926323,Unreliable
4,2001,1,3827346,Unreliable
4,2002,9,3812607,Unreliable
4,2003,3,3816873,Unreliable
4,2004,3,3876609,Unreliable
4,2005,5,4030128,Unreliable
4,2006,4,3970880,Unreliable
4,2007,4,3998260,Unreliable
4,2008,6,4041170,Unreliable
4,2009,6,4033457,Unreliable
4,2010,7,4063170,Unreliable
4,2011,2,4122454,Unreliable
4,2012,5,4112347,Unreliable
4,2013,3,3991690,Unreliable
4,2014,5,4003448,Unreliable
4,2015,4,4020035,Unreliable
4,,75,67594050,0.1
5,1999,2,3999762,Unreliable
5,2000,2,3965103,Unreliable
5,2001,2,3910033,Unreliable
5,2002,2,3837187,Unreliable
5,2003,4,3823568,Unreliable
5,2004,4,3829607,Unreliable
5,2005,4,3893128,Unreliable
5,2006,6,4050582,Unreliable
5,2007,4,3993489,Unreliable
5,2008,3,4024297,Unreliable
5,2009,3,4070265,Unreliable
5,2010,4,4056858,Unreliable
5,2011,4,4088149,Unreliable
5,2012,4,4132747,Unreliable
5,2013,3,4121797,Unreliable
5,2014,1,4004858,Unreliable
5,2015,2,4018158,Unreliable
5,,54,67819588,0.1
6,1999,3,4042620,Unreliable
6,2000,2,4019705,Unreliable
6,2001,1,3972508,Unreliable
6,2003,1,3837761,Unreliable
6,2004,3,3822089,Unreliable
6,2005,7,3828153,Unreliable
6,2006,4,3891329,Unreliable
6,2007,5,4046402,Unreliable
6,2008,6,3988117,Unreliable
6,2009,2,4018200,Unreliable
6,2010,2,4066381,Unreliable
6,2011,3,4074959,Unreliable
6,2012,2,4098714,Unreliable
6,2013,1,4142191,Unreliable
6,2014,3,4134352,Unreliable
6,2015,6,4019207,Unreliable
6,,51,67915742,0.1
7,1999,2,4163303,Unreliable
7,2000,2,4118147,Unreliable
7,2001,1,4012049,Unreliable
7,2002,1,3982360,Unreliable
7,2003,1,3924182,Unreliable
7,2004,1,3850646,Unreliable
7,2005,2,3838840,Unreliable
7,2006,1,3848758,Unreliable
7,2007,2,3914743,Unreliable
7,2008,1,4073291,Unreliable
7,2009,1,4017024,Unreliable
7,2010,2,4030579,Unreliable
7,2012,1,4085964,Unreliable
7,2013,3,4108053,Unreliable
7,2014,1,4154000,Unreliable
7,2015,3,4148360,Unreliable
7,,25,68353445,0
8,2000,3,4179230,Unreliable
8,2001,1,4099542,Unreliable
8,2002,2,4020970,Unreliable
8,2003,1,3991075,Unreliable
8,2004,2,3933161,Unreliable
8,2005,1,3861877,Unreliable
8,2006,2,3852265,Unreliable
8,2007,4,3863089,Unreliable
8,2008,1,3930544,Unreliable
8,2010,3,4046486,Unreliable
8,2011,1,4052957,Unreliable
8,2012,1,4094174,Unreliable
8,2015,2,4167887,Unreliable
8,,24,68568638,0
9,2001,3,4179230,Unreliable
9,2002,2,4118846,Unreliable
9,2003,2,4044265,Unreliable
9,2004,2,4018734,Unreliable
9,2006,2,3901754,Unreliable
9,2007,1,3896888,Unreliable
9,2009,2,3987064,Unreliable
9,2010,3,4148353,Unreliable
9,2011,3,4034985,Unreliable
9,2013,1,4103335,Unreliable
9,2014,2,4106832,Unreliable
9,2015,2,4133564,Unreliable
9,,25,69115598,0
10,1999,3,4148653,Unreliable
10,2000,2,4274056,Unreliable
10,2001,3,4277249,Unreliable
10,2002,4,4243816,Unreliable
10,2003,3,4205042,Unreliable
10,2004,2,4151951,Unreliable
10,2005,2,4150122,Unreliable
10,2006,1,4121105,Unreliable
10,2007,3,4075718,Unreliable
10,2008,2,4093680,Unreliable
10,2009,3,4133090,Unreliable
10,2010,2,4172541,Unreliable
10,2011,1,4134144,Unreliable
10,2012,3,4045719,Unreliable
10,2014,2,4115254,Unreliable
10,2015,3,4121289,Unreliable
10,,39,70536687,0.1
11,1999,2,4036182,Unreliable
11,2000,3,4115093,Unreliable
11,2001,5,4344913,Unreliable
11,2002,2,4295720,Unreliable
11,2003,1,4254047,Unreliable
11,2004,5,4207721,Unreliable
11,2005,2,4149228,Unreliable
11,2006,2,4141970,Unreliable
11,2007,4,4106492,Unreliable
11,2008,4,4055388,Unreliable
11,2009,4,4066605,Unreliable
11,2010,3,4114415,Unreliable
11,2011,3,4195505,Unreliable
11,2012,2,4145034,Unreliable
11,2013,2,4055918,Unreliable
11,2014,3,4085636,Unreliable
11,2015,4,4130328,Unreliable
11,,51,70500195,0.1
12,1999,3,4009910,Unreliable
12,2000,4,4075842,Unreliable
12,2001,1,4183955,Unreliable
12,2002,5,4380351,Unreliable
12,2003,6,4332987,Unreliable
12,2004,4,4293550,Unreliable
12,2005,5,4251162,Unreliable
12,2006,5,4196880,Unreliable
12,2007,11,4192002,Unreliable
12,2008,6,4159477,Unreliable
12,2009,2,4110576,Unreliable
12,2010,6,4106243,Unreliable
12,2011,4,4124205,Unreliable
12,2012,1,4206939,Unreliable
12,2013,4,4155875,Unreliable
12,2014,4,4068790,Unreliable
12,2015,4,4101021,Unreliable
12,,75,70949765,0.1
13,1999,5,4003607,Unreliable
13,2000,12,4010850,Unreliable
13,2001,12,4113191,Unreliable
13,2002,5,4209025,Unreliable
13,2003,10,4401393,Unreliable
13,2004,9,4350199,Unreliable
